category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey
cloths container	1	140	40	7	container	otherprop	Objects						
shorts	1	192	40	7	shorts	otherprop	Objects					n04204755	short_circuit.n.01
emergency exit windows	1		40	7		otherprop	Objects						
gym	1		40	7		otherprop	Objects					n03472112	gymnasium.n.02
box of tissues	1		40	7		otherprop	Objects						
trolly	1	221	39	6	trolly	otherfurniture	Furniture						
water purifyer	1	93	40	7	water purifier	otherprop	Objects						
clutter'	1		40	7		otherprop	Objects						
wallend	1		40	7		otherprop	Objects						
tissue `paper	1		40	7		otherprop	Objects						
mop and bucket	1	427	40	7	bucket	otherprop	Objects						
grocery	1		40	7		otherprop	Objects					n03461385	grocery_store.n.01
worktable	1	19	7	10	table	table	Table	table	table	table	04379243	n04603729	worktable.n.01
air outlet	1		40	7		otherprop	Objects						
fold	1	97	40	7	pen	otherprop	Objects					n03376159	fold.n.06
toilet commoed	1		40	7		otherprop	Objects						
handfold	1		40	7		otherprop	Objects						
business chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
llong table chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
books in a shelf	1		40	7		otherprop	Objects						
chaurs	1		40	7		otherprop	Objects						
tennis table stand	1	50	39	6	stand	otherfurniture	Furniture						
kitchen water purifier	1	93	40	7	water purifier	otherprop	Objects						
lid	1	533	40	7	lid	otherprop	Objects						
electric hob	1		40	7		otherprop	Objects						
baggage	1	783	40	7	luggage	otherprop	Objects						
cpnter	1		40	7		otherprop	Objects						
stairs (exit)	1		40	7		otherprop	Objects						
equipment	1		40	7		otherprop	Objects					n03294048	equipment.n.01
rocking chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n04099969	rocking_chair.n.01
bunkbed	1	804	39	6	bunk bed	otherfurniture	Furniture						
divan	1	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n03214966	divan.n.01
bottle of hand sanitizer	1		40	7		otherprop	Objects						
sales stall	1		40	7		otherprop	Objects						
dehumidifer	1		40	7		otherprop	Objects						
wall cover	1		40	7		otherprop	Objects						
plumbing	1		40	7		otherprop	Objects					n03969041	plumbing.n.01
elliptical machine	1	220	40	7	machine	otherprop	Objects						
playball	1		40	7		otherprop	Objects						
safety bar	1	51	38	7	bar	otherstructure	Objects						
stereo	1	84	40	7	stereo	otherprop	Objects					n04315948	stereo.n.01
havlu	1		40	7		otherprop	Objects						
handbag	1		40	7		otherprop	Objects					n02774152	bag.n.04
furnance	1	551	39	6	furnace	otherfurniture	Furniture						
shleves	1		40	7		otherprop	Objects						
coat hanger	1	400	40	7	coat hanger	otherprop	Objects					n03057920	coat_hanger.n.01
erar wall	1	21	1	12	wall	wall	Wall						
bed bench	1	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n02828884	bench.n.01
tissu	1	648	40	7	tissue	otherprop	Objects						
plastic tub	1	232	40	7	plastic tub	otherprop	Objects	bathtub	bathtub	tub	02808440	n02808440	bathtub.n.01
potholder	1		40	7		otherprop	Objects					n03992115	potholder.n.01
coffee mug	1	263	40	7	vessel	otherprop	Objects			cup or mug	03797390	n03063599	coffee_mug.n.01
tennis rcket bag	1	55	37	7	bag	bag	Objects						
stand lamp	1	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02
bed/sofa	1		40	7		otherprop	Objects						
laundry supply	1		40	7		otherprop	Objects						
document shredder	1		40	7		otherprop	Objects						
gas-range stove	1	242	38	7	stove	otherstructure	Objects			stove	04330267	n04330267	stove.n.02
table soccer	1		40	7		otherprop	Objects						
cookingrange	1		40	7		otherprop	Objects						
bookbags	1		40	7		otherprop	Objects						
downstairs	1		40	7		otherprop	Objects						
coffeepot	1	893	40	7	coffee pot	otherprop	Objects					n03063689	coffeepot.n.01
jar	1	70	40	7	jar	otherprop	Objects			jar	03593526	n03593526	jar.n.01
rear wall	1	21	1	12	wall	wall	Wall						
part of chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
tape	1	109	40	7	tape	otherprop	Objects						
drawer table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
woodenrack	1		40	7		otherprop	Objects						
toilet floor	1	11	2	5	floor	floor	Floor						
cushioned seating	1		40	7		otherprop	Objects						
bulls eye	1		40	7		otherprop	Objects						
soft mat	1		40	7		otherprop	Objects						
snack box	1	26	29	7	box	box	Objects						
desk organizer	1		40	7		otherprop	Objects						
footboard	1	559	40	7	sheet	otherprop	Objects					n03379461	footboard.n.02
wall hook	1		40	7		otherprop	Objects						
chopping board	1	408	38	7	board	otherstructure	Objects					n03025513	chopping_board.n.01
round picture	1	64	11	8	picture	picture	Picture						
chimney	1	702	38	7	chimney	otherstructure	Objects					n03017428	chimney.n.01
studio screen	1		40	7		otherprop	Objects						
personal belonging	1		40	7		otherprop	Objects						
roll of paper	1	15	26	7	paper	paper	Objects						
gaming wheel	1		40	7		otherprop	Objects						
landlord	1	331	31	7	person	person	Objects	person				n10245236	landlord.n.01
ebd	1		40	7		otherprop	Objects						
heater radiator	1	236	39	6	radiator	otherfurniture	Furniture						
cabinet above	1		40	7		otherprop	Objects						
weighted plate	1	233	40	7	plate	otherprop	Objects						
travelling bag	1	55	37	7	bag	bag	Objects			suitcase	02773838	n02773838	bag.n.06
desk material	1		40	7		otherprop	Objects						
door wall	1	21	1	12	wall	wall	Wall						
traffic cone	1	6	40	7	cone	otherprop	Objects	cone					
computer mouse	1	103	40	7	mouse	otherprop	Objects					n03793489	mouse.n.04
coathanger	1	400	40	7	coat hanger	otherprop	Objects						
bureau	1	524	39	6	furniture	otherfurniture	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01
tyre	1		40	7		otherprop	Objects					n04440749	tire.n.01
armchairchair	1		40	7		otherprop	Objects						
oven range	1		40	7		otherprop	Objects						
pants	1		40	7		otherprop	Objects					n04489008	trouser.n.01
chiropractic chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
keg	1	343	39	6	barrel	otherfurniture	Furniture					n03610418	keg.n.02
spray	1		40	7		otherprop	Objects					n02754103	atomizer.n.01
paper trimmer	1		40	7		otherprop	Objects						
standing whiteboard	1	45	30	7	whiteboard	whiteboard	Objects						
desk drawer	1	475	39	6	desk drawer	otherfurniture	Furniture						
window/windowed door	1	28	8	12	door	door	Wall	door					
soapbox	1	671	40	7	soap box	otherprop	Objects						
pillow sofa	1	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01
centre table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
doorway	1	609	38	7	door way	otherstructure	Objects	door				n03224032	doorway.n.01
wall and whiteboard	1	45	30	7	whiteboard	whiteboard	Objects						
laptop computer	1	46	40	7	computer	otherprop	Objects	laptop		laptop	03642806	n03642806	laptop.n.01
scanner/copier	1		40	7		otherprop	Objects						
suitcase w/clothes	1		40	7		otherprop	Objects						
power pusher	1		40	7		otherprop	Objects						
shower faucet handle	1	758	40	7	handle	otherprop	Objects						
walk	1		40	7		otherprop	Objects					n04544979	walk.n.05
matte	1		40	7		otherprop	Objects						
atm machine	1	220	40	7	machine	otherprop	Objects						
garage door	1	850	38	7	garage door	otherstructure	Objects	door					
wals	1		40	7		otherprop	Objects						
cabinet aisle	1		40	7		otherprop	Objects						
table light	1	62	38	7	light	otherstructure	Objects						
guillotine paper trimmer	1		40	7		otherprop	Objects						
round 2\	1		40	7		otherprop	Objects						
teddy	1		40	7		otherprop	Objects					n03013580	chemise.n.01
white board/divider	1		40	7		otherprop	Objects						
white wall	1	21	1	12	wall	wall	Wall						
mark	1		40	7		otherprop	Objects					n04681387	crisscross.n.01
partition wall	1	21	1	12	wall	wall	Wall						
shag rug	1	130	40	7	rug	otherprop	Objects					n04183217	shag_rug.n.01
upstair way	1		40	7		otherprop	Objects						
music stand'	1	820	39	6	music stand	otherfurniture	Furniture						
recamier	1		40	7		otherprop	Objects						
venthole	1		40	7		otherprop	Objects					n04526241	vent.n.01
dining seat	1		40	7		otherprop	Objects						
toilet cover	1		40	7		otherprop	Objects						
personal item	1		40	7		otherprop	Objects						
tallboy	1	524	39	6	furniture	otherfurniture	Furniture	dresser	dresser			n03518305	highboy.n.01
drawers unit	1		40	7		otherprop	Objects						
teapot	1	678	40	7	tea pot	otherprop	Objects					n04398044	teapot.n.01
cook cabinet	1	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01
wok pan	1	589	40	7	pan	otherprop	Objects						
tv tray	1	179	40	7	tray	otherprop	Objects						
round chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
sawhorse	1		40	7		otherprop	Objects					n04140631	sawhorse.n.01
kitchen range	1	242	38	7	stove	otherstructure	Objects					n04330340	stove.n.01
busdrver	1		40	7		otherprop	Objects						
barricade	1		40	7		otherprop	Objects						
wall ornament	1		40	7		otherprop	Objects						
color printer	1	66	40	7	printer	otherprop	Objects			printer	04004475	n04004475	printer.n.03
sticker	1	725	40	7	sticker	otherprop	Objects					n07272545	gummed_label.n.01
exit sign	1	86	40	7	exit sign	otherprop	Objects						
gas stove	1	242	38	7	stove	otherstructure	Objects			stove	04330267	n04330267	stove.n.02
venta hood	1		40	7		otherprop	Objects						
copier/printer	1		40	7		otherprop	Objects						
wall-mounted lamp	1	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02
item box	1	26	29	7	box	box	Objects						
water puifyer	1		40	7		otherprop	Objects						
wall papper	1		40	7		otherprop	Objects						
salt and peper	1	737	40	7	salt and pepper	otherprop	Objects						
printer four	1		40	7		otherprop	Objects						
towel fastener	1		40	7		otherprop	Objects						
basth	1		40	7		otherprop	Objects						
flipflops	1		40	7		otherprop	Objects						
bonus	1		40	7		otherprop	Objects						
kitchen box	1	26	29	7	box	box	Objects					n02883344	box.n.01
central heating unit	1		40	7		otherprop	Objects						
hanging tubelight	1		40	7		otherprop	Objects						
soccer ball	1	837	40	7	soccer ball	otherprop	Objects					n04254680	soccer_ball.n.01
almarah	1		40	7		otherprop	Objects						
canopy	1		40	7		otherprop	Objects						
med box	1	26	29	7	box	box	Objects						
drain	1	567	38	7	drain	otherstructure	Objects						
panelling	1	21	1	12	wall	wall	Wall					n03882611	paneling.n.01
bed stand	1	50	39	6	stand	otherfurniture	Furniture						
deal	1	408	38	7	board	otherstructure	Objects					n15102622	deal.n.04
massage	1		40	7		otherprop	Objects						
safety rail	1	497	38	7	railing	otherstructure	Objects					n04127395	safety_rail.n.01
vacuumer	1		40	7		otherprop	Objects						
binfl	1		40	7		otherprop	Objects						
lightbulb	1	566	40	7	light bulb	otherprop	Objects	lamp				n03665924	light_bulb.n.01
door hydraulic	1		40	7		otherprop	Objects						
induction cook top	1		40	7		otherprop	Objects						
bedstand	1		40	7		otherprop	Objects						
calander	1		40	7		otherprop	Objects						
set of seats	1		40	7		otherprop	Objects						
chocolate bar dispenser	1		40	7		otherprop	Objects						
wall unit tv	1		40	7		otherprop	Objects						
broomstick	1	328	40	7	broom	otherprop	Objects					n02907082	broomstick.n.01
bath faucet	1	9	40	7	faucet	otherprop	Objects			faucet	03325088	n03325088	faucet.n.01
folded cloth	1		40	7		otherprop	Objects						
supply	1		40	7		otherprop	Objects						
under oven drawer	1	174	39	6	drawer	otherfurniture	Furniture						
kinect	1	823	40	7	kinect	otherprop	Objects						
cash	1		40	7		otherprop	Objects					n10886222	cash.n.03
dining side wall	1	21	1	12	wall	wall	Wall						
log	1		40	7		otherprop	Objects					n03686658	log.n.05
garden gnome	1		40	7		otherprop	Objects						
coucnb	1		40	7		otherprop	Objects						
dart	1		40	7		otherprop	Objects					n03162818	dart.n.01
dust pan and brush	1		40	7		otherprop	Objects						
smoke alarm	1	525	40	7	alarm	otherprop	Objects					n03343737	fire_alarm.n.02
kitchen top	1		40	7		otherprop	Objects						
toilet flush	1		40	7		otherprop	Objects						
cooler	1	17	24	6	refridgerator	refridgerator	Furniture					n03102654	cooler.n.01
kitchen island	1	456	38	7	kitchen island	otherstructure	Objects					n03620600	kitchen_island.n.01
balcony	1		40	7		otherprop	Objects						
escape door	1	28	8	12	door	door	Wall	door					
hammer	1	883	40	7	hammer	otherprop	Objects					n03481172	hammer.n.02
wall and paiting	1		40	7		otherprop	Objects						
kitch shelf	1		40	7		otherprop	Objects						
handwasher	1		40	7		otherprop	Objects						
vanity top	1		40	7		otherprop	Objects						
bodyboard	1		40	7		otherprop	Objects						
messenger bag	1	55	37	7	bag	bag	Objects						
stationary bike	1		40	7		otherprop	Objects						
cabinet countertop	1		40	7		otherprop	Objects						
ping pong padle	1		40	7		otherprop	Objects						
teapoy	1		40	7		otherprop	Objects						
clothes basket	1	39	40	7	basket	otherprop	Objects			basket	02801938	n03050864	clothes_hamper.n.01
xbox	1	628	40	7	xbox	otherprop	Objects	xbox					
both	1		40	7		otherprop	Objects						
foosball	1		40	7		otherprop	Objects						
soad stand	1	50	39	6	stand	otherfurniture	Furniture						
prop	1		40	7		otherprop	Objects					n02692086	airplane_propeller.n.01
buddha	1		40	7		otherprop	Objects						
reflection in a mirror	1	122	19	7	mirror	mirror	Objects						
bar stol	1		40	7		otherprop	Objects						
oven/stove	1		40	7		otherprop	Objects						
patterned rug	1	130	40	7	rug	otherprop	Objects						
window panel	1		40	7		otherprop	Objects						
vault	1		40	7		otherprop	Objects						
dust bin cover	1		40	7		otherprop	Objects						
throw	1	872	40	7	throw	otherprop	Objects					n04429971	throw.n.04
painting and frame	1		40	7		otherprop	Objects						
covered piano	1	298	39	6	piano	otherfurniture	Furniture	piano		piano	03928116	n03928116	piano.n.01
drawer unit	1		40	7		otherprop	Objects						
aircon	1		40	7		otherprop	Objects						
package	1		40	7		otherprop	Objects					n03871083	package.n.02
gas vent	1		40	7		otherprop	Objects						
block	1		40	7		otherprop	Objects						
cloth container	1	140	40	7	container	otherprop	Objects						
additional printer	1	66	40	7	printer	otherprop	Objects			printer	04004475	n04004475	printer.n.03
danger sign	1	208	40	7	sign	otherprop	Objects						
game machine	1	220	40	7	machine	otherprop	Objects						
light fixture	1		40	7		otherprop	Objects						
utility	1		40	7		otherprop	Objects					n04516874	utility.n.06
base rack	1		40	7		otherprop	Objects						
staircase landing	1		40	7		otherprop	Objects						
szll	1		40	7		otherprop	Objects						
piano note	1		40	7		otherprop	Objects						
bboks	1		40	7		otherprop	Objects						
cabord	1		40	7		otherprop	Objects						
central table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
splash	1		40	7		otherprop	Objects					n04682319	splash.n.04
suit	1		40	7		otherprop	Objects					n04350905	suit.n.01
cook top	1		40	7		otherprop	Objects						
jug	1	687	40	7	jug	otherprop	Objects	bottle		bottle	02876657	n03603722	jug.n.01
stepstool	1	276	40	7	step stool	otherprop	Objects						
tripod	1	50	39	6	stand	otherfurniture	Furniture					n04485082	tripod.n.01
cover box	1	26	29	7	box	box	Objects						
baby crib	1	485	39	6	crib	otherfurniture	Furniture						
air condisnor	1		40	7		otherprop	Objects						
water softner	1		40	7		otherprop	Objects						
chandelier	1	342	38	7	chandelier	otherstructure	Objects					n03005285	chandelier.n.01
floor patterning	1		40	7		otherprop	Objects						
tablet top	1		40	7		otherprop	Objects						
smoke detector	1		40	7		otherprop	Objects						
baseball cap	1		40	7		otherprop	Objects			cap	02954340	n02799323	baseball_cap.n.01
tissue roll holder	1		40	7		otherprop	Objects						
case of water	1		40	7		otherprop	Objects						
wall-organizer	1		40	7		otherprop	Objects						
piece	1		40	7		otherprop	Objects					n03343853	firearm.n.01
wheelbarrel	1		40	7		otherprop	Objects						
desktop item	1		40	7		otherprop	Objects						
tv showcase	1		40	7		otherprop	Objects						
chelves	1		40	7		otherprop	Objects						
toothbrush	1	127	40	7	toothbrush	otherprop	Objects					n04453156	toothbrush.n.01
chiffonière	1		40	7		otherprop	Objects						
leg towel	1	135	27	7	towel	towel	Objects						
flowers/decorations	1		40	7		otherprop	Objects						
snake toy	1	389	40	7	toy	otherprop	Objects						
cabinet's side	1		40	7		otherprop	Objects						
bedroom chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
drum	1	145	40	7	drum	otherprop	Objects					n03249569	drum.n.01
liquid soap	1	133	40	7	soap	otherprop	Objects						
set of bedding	1		40	7		otherprop	Objects						
night lamp	1	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02
post board	1	408	38	7	board	otherstructure	Objects						
measuring cup	1	730	40	7	measuring cup	otherprop	Objects	cup				n03733805	measuring_cup.n.01
baseboard heater	1	111	39	6	heater	otherfurniture	Furniture						
paper shelf	1		40	7		otherprop	Objects						
alert sheet	1	559	40	7	sheet	otherprop	Objects						
duster	1	115	40	7	duster	otherprop	Objects					n03258330	dustcloth.n.01
snooker table	1	19	7	10	table	table	Table	table	table	table	04379243	n03982430	pool_table.n.01
leg rest	1		40	7		otherprop	Objects						
wall storage	1		40	7		otherprop	Objects						
office board	1	408	38	7	board	otherstructure	Objects						
bathroom counter	1	7	12	6	counter	counter	Furniture	table	table	table	04379243	n03116530	counter.n.01
table sofa	1	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01
glass-topped table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
racket bat	1		40	7		otherprop	Objects						
fridge handle	1	758	40	7	handle	otherprop	Objects						
stove top	1		40	7		otherprop	Objects						
monitor from pc	1		40	7		otherprop	Objects						
stick	1	529	40	7	stick	otherprop	Objects						
